STAND, POSX, POSY, POSZ, POL, DELAY
163, -26.537, -7.51, 1.847, 0, 4.91286106692e-07
163, -26.537, -7.51, 1.847, 1, 4.87175937492e-07
66, 12.878, -18.18, 2.119, 0, 4.23105652909e-07
66, 12.878, -18.18, 2.119, 1, 4.23105652909e-07
58, 12.505, -46.58, 2.984, 0, 5.11534734367e-07
58, 12.505, -46.58, 2.984, 1, 5.11027007583e-07
241, 43.542, 16.927, 0.881, 0, 2.15195564647e-07
241, 43.542, 16.927, 0.881, 1, 2.14566950534e-07
217, 36.542, 3.168, 1.357, 0, 2.86100012919e-07
217, 36.542, 3.168, 1.357, 1, 2.86100012919e-07
98, 17.446, -20.61, 2.172, 0, 4.02957764675e-07
98, 17.446, -20.61, 2.172, 1, 4.02957764675e-07
122, 23.622, -44.916, 2.828, 0, 5.23194317288e-07
122, 23.622, -44.916, 2.828, 1, 5.22154686255e-07
22, 7.11, -46.343, 3.008, 0, 5.32097669098e-07
22, 7.11, -46.343, 3.008, 1, 5.30250107747e-07
239, 41.849, 11.139, 1.153, 0, 2.25616052442e-07
239, 41.849, 11.139, 1.153, 1, 2.25061985515e-07
255, 48.814, 11.217, 1.178, 0, 2.41285065121e-07
255, 48.814, 11.217, 1.178, 1, 2.38528834011e-07
64, 11.743, -24.907, 2.3, 0, 4.70823911402e-07
64, 11.743, -24.907, 2.3, 1, 4.64221448428e-07
152, 29.047, -38.425, 2.669, 0, 4.4603193493e-07
152, 29.047, -38.425, 2.669, 1, 4.43835815113e-07
213, 36.166, -8.423, 1.766, 0, 3.15241918461e-07
213, 36.166, -8.423, 1.766, 1, 3.14311086024e-07
253, 48.643, 5.271, 1.278, 0, 2.4832473727e-07
253, 48.643, 5.271, 1.278, 1, 2.46898266783e-07
6, 1.885, -26.034, 2.298, 0, 5.01718683219e-07
6, 1.885, -26.034, 2.298, 1, 5.00499735981e-07
182, 34.381, -32.168, 2.472, 0, 4.06987342322e-07
182, 34.381, -32.168, 2.472, 1, 4.06987342322e-07
251, 49.283, -0.376, 1.415, 0, 2.59067591276e-07
251, 49.283, -0.376, 1.415, 1, 2.56275093967e-07
233, 40.928, -10.16, 1.862, 0, 3.10229123868e-07
233, 40.928, -10.16, 1.862, 1, 3.1068849572e-07
